type,k_mean,k_median,par_mean,par_median
3,27716.02799,25700,55879.31641,30400
1,32210.8752,25700,71043.66439,66600
2,53629.40625,42800,140836.1458,84800
2,47276.7129,42100,172835.4881,103700
2,44505.20001,35700,159678.221,95300
2,119502.5455,83000,185591.1348,124500
2,46508.11575,25300,205473.4941,108700
1,58449.62114,55100,98379.03405,80200
1,42627.00179,40300,57771.22737,45600
1,53931.90846,48800,116773.1328,85800
1,44225.55413,43000,52114.62349,36600
1,49244.33341,44100,84829.51677,61100
1,32951.94418,30200,56123.49818,45500
1,33443.44549,28100,77666.00098,66500
2,98125.4208,69900,335092.9724,142000
1,40109.35613,32500,103185.4909,88200
3,41296.77344,37600,47183.26172,44700
1,33298.01473,28300,70792.21628,51600
3,35981.48958,28200,130106.3724,76300
3,24112.40303,17900,53849.61801,33200
1,37418.35057,30500,60158.27255,40100
2,109616.2766,82400,207971.9583,139800
3,18241.47721,16700,36129.47396,29500
3,31692.84783,27600,98614.81078,64800
1,33103.55944,28100,64488.08889,49900
1,33390.78677,28400,62361.81124,41400
2,66238.50992,56200,314268.5526,131800
3,15921.03343,11400,71783.10046,44200
2,34001.24089,31300,298825.9479,104900
2,46047.74651,30700,142117.1266,87700
1,36643.54248,30800,76053.56088,62800
2,48089.91409,44900,67906.38965,48500
3,25945.04753,15500,116335.8802,77400
2,58066.14856,49000,254125.5501,122400
2,55442.95313,47600,191723.4688,80500
1,34430.09624,29500,68739.46256,44600
2,74970.85492,55800,371031.0396,124100
2,51976.01988,43500,434121.4144,131900
3,28357.83861,24500,61987.96099,48500
2,90406.20437,62000,324439.5016,161600
1,35389.4594,32400,57731.04765,46500
1,37890.72394,28800,114345.2307,51300
2,54995.78644,46400,254753.8226,126300
3,22615.28372,19100,35004.68341,29600
1,82856.58801,65800,171784.8011,105500
2,56189.7318,48600,98916.00026,72300
2,92409.22639,63700,285910.4066,120100
3,30488.57813,26400,48385.38411,37800
3,29111.49284,19000,49891.94401,39500
2,51710.17,47900,198170.0398,98500
2,45386.35046,44300,106416.8122,61900
1,52188.20571,47800,103739.6362,83300
2,55754.45067,47900,233063.9002,109600
1,36782.17606,30600,101057.1973,72800
2,44780.79943,39600,131138.3081,94000
1,36744.72466,30900,120056.0569,81200
1,35529.0356,30000,77913.88572,63600
3,17539.01953,10300,131895.1172,85200
1,41066.0084,33700,86310.76223,63600
1,37931.57487,31100,138658.7393,100600
1,68174.46898,60400,121501.6514,92100
2,41389.99464,32900,119919.5008,83200
2,40537.43385,36200,94525.19923,82600
1,31873.89079,28400,59464.92465,44900
2,52419.90745,43200,114744.1669,81300
3,15524.98861,19000,47744.54688,35800
1,31223.54659,25100,81050.92463,71000
1,33397.399,28800,80882.55802,70800
1,59668.70069,52800,102472.0094,75000
3,31006.41846,29700,101653.7677,84000
1,34251.57475,28700,62711.74123,58000
1,45793.71725,43500,82251.9873,69800
1,31579.25653,27700,76332.50965,66300
1,31708.20894,27100,67192.23472,50100
1,31807.68551,25900,69714.46351,55000
3,25353.24805,20800,54286.0625,39600
3,43138.19658,41300,75764.7293,62900
2,55441.39039,47700,209235.6739,108400
1,32231.85404,25200,67682.33844,62600
2,57255.63568,50900,169644.5575,110600
1,45810.76172,47300,141960.9635,96300
1,36632.46611,30600,95888.39963,73700